Title,Author,year
"Successes, Challenges, and Future Directions for an Urban Full Service Community Schools Initiative","Anderson, Jeffrey Alvin; Chen, Ming-E; Min, Mina; Watkins, Lara L.",2019
Institutional Responses: Public School Curriculum and Religious Conservatives in California,"Adler, Louise",1996
The Need for Urban Teacher Mentors: Conceptions and Realities,"King, Sabrina Hope; Bey, Theresa M.",1995
"College-Readiness Rates in Texas: A Statewide, Multiyear Study of Ethnic Differences","Barnes, Wally; Slate, John R.",2014
Implementation of Trauma-Informed Care in a Urban School District,"Williams, Teressa",2023
"Concern for Lesbian, Gay, and Bisexual Kids: The Benefits for All Children","Schneider, Monica E.; Owens, Robert E.",2000
Social Capital and First-Generation College Students: Examining the Relationship between Mentoring and College Enrollment,"Glass, Leah E.",2023
Determining National Content Standards: An Introduction,"Massell, Diane; Kirst, Michael",1994
The Unintended Consequences of VAM: Excluding Latinx Social Studies Topics,"Santiago, Maribel; Kang, Hana",2023
"Self-Efficacy, Subjective Norms, Self-Regulated Learning: An Application of the Theory of Planned Behavior with GEAR UP Students","Ellis, James M.; Helaire, Lumas J.",2023
Measuring Achievement Gains in the Chicago Public Schools,"Bryk, Anthony S.; And Others",1994
Can Urban School Reform and Community Development Be Joined? The Potential of Community Schools,"Keith, Novella Z.",1996
A Project YES Case Study. Who Are the Real Service Providers?,"MacNeil, Carole; Krensky, Beth",1996
Mentoring the Marginal Urban School Teacher,"Leake, Brenda H.; Leake, Donald O.",1995
"""I'm Actually a Female Empowerer"": Student Perspectives on a Critical Pedagogical Approach to Re/Engage At-Risk Females in School","MacMaoilir, Eóin; McGillicuddy, Deirdre",2023
Putting the Self in Self-Efficacy: Personal Factors in the Development of Early Teacher Self-Efficacy,"Narayanan, Madhu; Ordynans, Jill G.; Wang, Amber; McCluskey, Matthew S.; Elivert, Nathalie; Shields, Anne L.; Ferrell, Anne C.",2023
The Integration of 21st-Century Skills in Science: A Case Study of Canada and the USA,"Amadi, Chioma Stella",2023
"Time for Change: Understanding Teacher Social-Emotional Learning Supports for Anti-Racism and Student Well-Being during COVID-19, and Beyond","Beard, Karen Stansberry; Vakil, Joanne Baltazar; Chao, Theodore; Hilty, Cory D.",2023
Commanding the Class in a Foreign Tongue: The Influence of Language Proficiency and Intercultural Competence on Classroom Leadership,"Wang, Changmi",2023
Community-Based Educational Leadership in Principal Preparation: A Comparative Case Study of Aspiring Latina Leaders,"Lac, Van T.; Diaz, Christina",2023
Predicting the Culturally Responsive Teacher Roles with Cultural Intelligence and Self-Efficacy Using Machine Learning Classification Algorithms,"Karatas, Kasim; Arpaci, Ibrahim; Yildirim, Yusuf",2023
Technology and Education as Elements in Museum Cultural Inclusion,"Llamazares de Prado, José Enrique; Arias Gago, Ana Rosa",2023
Potential Racial Threat on Student In-School Suspensions in Segregated U.S. Neighborhoods,"Lee, Jin",2023
ACALETICS® and Predicting Mathematics Achievement with Racially Diverse and Economically Disadvantaged Students,"Richardson, Sonyia; Hancock, Stephen",2023
Show Me the Money: The Benefits of For-Profit Charter Schools (aka EMOs),"Toson, Amy L.-M.",2013
"""How You Like Me Now?"": Exploring Teacher Perceptions of Urban Middle Schoolers' Mathematical Abilities and Identities","Flint, Tori K.; Sheppard, Peter; Tackie, Nii A.",2019
Stoking the Flames: A Community Cultural Wealth Analysis of Black Parents' Engagement in an Empowerment Organization,"Budhai, Stephanie Smith; Lewis Grant, Kristine S.",2023
Performance-Based Assessment: Will Gender Differences in Science Achievement Be Eliminated?,"Jovanovic, Jasna; And Others",1994
Minority Parental Involvement: A Mexican Mother's Experience and a Teacher's Interpretation,"Shannon, Sheila M.",1996
"""Equity Work Is Messy"": Exploring a Family and Community Partnership in One School District","Castillo, Bernadette M.",2023
Education of Younger Homeless Children in Urban Settings,"Eddowes, E. Anne",1993
New Teachers for Urban Schools? The Contribution of the Provisional Teacher Program in New Jersey,"Natriello, Gary; Zumwalt, Karen",1993
Validity Issues and Concerns for Assessing English Learners: One District's Approach,"Hafner, Anne L.; Ulanoff, Sharon H.",1994
"Understanding Achilles' Heel: Information Dissemination, Readability, and Marketing in Urban School Choice","Delale-O'Connor, Lori",2019
"Altruism, Jobs, and Alternative Certification: Mathematics Teachers' Reasons for Entry and Their Retention","Callahan, Pamela Catherine; Brantlinger, Andrew",2023
Exploring the Role of Family-School Partnerships in School Choice,"Saltmarsh, Jason E.",2023
Criticalizing Teacher Perceptions of Urban School Climate: Exploring the Impact of Racism and Race-Evasive Culture in a Predominantly White Teacher Workforce,"Bendixen, Lisa D.; Plachowski, Tara; Olafson, Lori",2023
"""The Discipline Stop"": Black Male Teachers and the Politics of Urban School Discipline","Brockenbrough, Ed",2015
Differences between Students of Jewish and Arab Origin in Reasons for Deciding to Study,"Guterman, Oz; Gill, Efrat",2023
The Charter School Movement in California and Elsewhere,"Contreras, A. Reynaldo",1995
How Can Schools Increase Students' Hopefulness Following the Pandemic?,"Barnett, Bruce G.",2023
Educators' Beliefs and Perceptions of Implementing Restorative Practices,"Dhaliwal, Tasminda K.; Daramola, Eupha Jeanne; Alonso, Jacob D.; Marsh, Julie A.",2023
How to Promote Social Entrepreneurship on Urban Education? An Active Learning Implementation,"Capella-Peris, Carlos; Cosgrove, Mary Margaret; Salvador-García, Celina; Maravé-Vivas, María",2023
"Nuance in ""No Excuses"": Unexpected Progressive Pedagogy and Policy","Harrison, Monique H.",2023
Lessons from the New Science Curriculum for the 1950s and 1960s,"Yee, Gary; Kirst, Michael",1994
Future Orientation as a Moderator of Bullying Victimization and School Outcomes: Comparing Heterosexual and Sexual Minority Urban African American Adolescents,"Hong, Jun Sung; Wade, Ryan M.; Kim, Jinwon; Espelage, Dorothy L.; Washington, Tyreasa; Voisin, Dexter R.",2023
Educating Children at Home: Implications for Assessment and Accountability,"Marlow, Stacey E.",1994
Service-Learning and School-to-Work Strategies for Revitalizing Urban Education and Communities,"Gomez, Barbara",1996
WalkAbout: More than Summer School,"Kielsmeier, James C.",1996
"Not Another School Shooting: Media, Race, and Gun Violence in K-12 Schools","Hilaire, Breahannah; Campbell, Laurie O.; Kelchner, Viki P.; Laguardia, Eric D.; Howard, Cassandra",2023
Lifting as You Climb: Social Capital Development through Aspirational Peer Mentoring,"Cavendish, Wendy; Perez, Deborah; Ocasio-Stoutenburg, Lydia",2023
Legal Rights to Education of Homeless Children and Youth,"Helm, Virginia M.",1993
Setting Standards in Mathematics and Social Studies,"Massell, Diane",1994
The Impact of Nudge Letters on Improving Attendance in an Urban District,"Mac Iver, Martha Abele; Wills, Kellie; Cruz, Anna; Mac Iver, Douglas J.",2022
Research on the Growth Experience of Presidents and Scientific Research Performance of Top Universities in China,"Li, Zhen; Zhong, Lingna; Lu, Yuling",2023
Barriers to Increasing Teacher Diversity: The Need to Move beyond Aspirational Legislation,"Smith, Joanna; Porter, Lorna; Harrison, Brandon J.; Wohlstetter, Priscilla",2023
Three Challenges for National Content Standards,"Massell, Diane",1994
Policy Initiatives To Improve Urban Schools: An Agenda,"Bainbridge, William L.; Lasley, Thomas J., II; Sundre, Steven M.",2003
Successes and Failures of the University-Community Partnership: A Case Study of Imbali Semi-Rural Settlement,"Nhlapo, Molise David; Hlalele, Dipane Joseph",2023
"Educational Equity for Gay, Lesbian, Bisexual, Transgendered, and Queer/Questioning Students: The Demands of Democracy and Social Justice for America's Schools","MacGillivray, Ian K.",2000
Problems of Traditionally Prepared and Alternatively Certified First-Year Teachers,"Houston, W. Robert; And Others",1993
"A ""Participatory School"" in Iran: A Bottom-Up Learning Approach in a Top-Down Education System","Manouchehri, Bahar; Burns, Edgar A.",2023
"""It's Dehumanizing on Purpose"": Educators' Experiences at an Immigration Detention Center","McCorkle, William",2023
Faith-Driven Gentrification and Displacement in Education in Israeli Urban Neighborhoods,"Cohen, Janet; Billig, Miriam",2023
Hidden in (Virtual) Plain Sight: A Charter District's Focus on Attendance during COVID-19,"Childs, Joshua; Grooms, Ain; Mozley, Mollie Purcell",2023
Outcome-Based Education and Accountability,"Furman, Gail Chase",1994
"Social Disorganization, Community Engagement, and Public High School Performance","Kanaan, David Z.",2023
"Enhancing Achievement for Language Minority Students: Classroom, School, and Family Contexts","Garcia, Shernaz B.; And Others",1995
Today's Civil Rights Fight: What's Math Got to Do with It?,"Bronson, Elethia Nicole; Long, Leroy L., III",2023
Conflict Resolution Programs and Social Justice,"Bettmann, Ellen Hofheimer; Moore, Pamela",1994
